name,kind,repo,version,stability,protocol_version,praxist_core,entrypoint,tool_names,auth,auth_established,stars,url,added,description
"evaluation_tools","tool_server","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","log_experiment_metrics;share_finding;get_leaderboard;wait_for_file;read_tool_result","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/tools/evaluation_tools","2026-08-28","Evaluation MCP tools for findings, metrics, and bounded task-owned file readiness."
"existing_mcp_tools_shim","tool_server","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","false","","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/tools/existing_mcp_tools_shim","2026-08-28","Compatibility shim for existing evaluation/frontier/finding-graph/memory/prior-work MCP tool servers."
"finding_graph_query","tool_server","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","get_finding_neighbors;get_finding_subgraph;get_unlinked_recent_findings","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/tools/finding_graph_query","2026-08-28","Read-only finding graph query MCP surface for graph context and recent finding lookup."
"frontier_tools","tool_server","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","get_frontier","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/tools/frontier_tools","2026-08-28","Existing frontier MCP tools for leaderboard and frontier lookup."
"literature_lookup","tool_server","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","literature_search;literature_resolve;literature_source_guide;literature_open_access_text;scientific_database_search","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/tools/literature_lookup","2026-08-28","Generic no-key public literature/database/open-access lookup tools for peers, PI panels, and task-local scout roles."
"memory_tools","tool_server","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","get_evidence_card;query_evidence_cards;query_coverage_matrix;list_active_claims;list_open_objections;get_ledger_entry;resolve_source_ref","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/tools/memory_tools","2026-08-28","Existing research-memory MCP tools for PI evidence-card and ledger queries."
"pdf_reader","tool_server","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","pdf_read;pdf_metadata","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/tools/pdf_reader","2026-08-28","PDF reader MCP tool — rasterize via poppler + OCR via tesseract for research papers (#128)."
"prior_work_tools","tool_server","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","download_snapshot","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/tools/prior_work_tools","2026-08-28","Existing prior-work MCP tools for downloading prior workspace snapshots from previous findings."
"run_report","tool_server","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","generate_run_report","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/tools/run_report","2026-08-28","Generate human-readable Praxist run reports from canonical run artifacts."
"system","tool_server","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","system_active_runs;system_run_summary;system_recent_findings;system_frontier_snapshot;system_recent_errors","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/tools/system","2026-08-28","Read-only system-state surfacing for roles that benefit from cross-run situational awareness."
"transcriptapi","tool_server","ZeroPointRepo/transcriptapi-praxist-plugin","0.1.0","v0_experimental","1",">=0.1.0,<1.0","true","youtube_transcript;youtube_search;youtube_video_info;youtube_channel_videos","TRANSCRIPTAPI_KEY","true","2","https://github.com/ZeroPointRepo/transcriptapi-praxist-plugin","2026-08-28","YouTube transcript, search, and channel tools for Praxist research agents, backed by the TranscriptAPI REST API."
"ideation_stub","workflow_stage","sapientinc/PRAXIST","0.1.0","v1_stable","1",">=0.1.0,<1.0","false","","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/workflow_stages/ideation_stub","2026-08-28","Disabled-by-default ideation workflow stub."
"paper_writing_stub","workflow_stage","sapientinc/PRAXIST","0.1.0","v1_stable","1",">=0.1.0,<1.0","false","","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/workflow_stages/paper_writing_stub","2026-08-28","Disabled-by-default paper writing workflow stub."
"research_loop","workflow_stage","sapientinc/PRAXIST","0.1.0","v1_stable","1",">=0.1.0,<1.0","true","","ANTHROPIC_API_KEY, ANTHROPIC_AUTH_TOKEN, DEEPSEEK_API_KEY, OPENAI_API_KEY, OPENROUTER_API_KEY","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/workflow_stages/research_loop","2026-08-28","Required research loop workflow stage."
"reviewer_stub","workflow_stage","sapientinc/PRAXIST","0.1.0","v1_stable","1",">=0.1.0,<1.0","false","","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/workflow_stages/reviewer_stub","2026-08-28","Disabled-by-default local reviewer stage for artifact/provenance consistency checks."
